sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STLISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIZJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STLIZJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
STLIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X
STLIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIZOJ,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STLIZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X
STLIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
STLIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLIOZJ,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STLIOZS,O,X,X,X,X,X,X,X,X,O,X,X,X,X
STLJISZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STLJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
STLJIZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
STLJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJIOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
STLJSIZ,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLJSIO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLJSZI,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLJSZO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLJSOI,X,X,X,X,O,X,X,O,O,X,X,O,O,X
STLJSOZ,X,X,X,X,O,X,X,O,O,X,X,O,O,X
STLJZIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJZOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STLJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STLJOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLJOIZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
STLJOSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STLJOSZ,X,X,X,X,O,X,X,O,X,X,X,O,X,X
STLJOZI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STLJOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STLSIJZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSIJO,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSIZJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X
STLSIZO,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSIOJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSIOZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSJIZ,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLSJIO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLSJZI,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLSJZO,X,X,X,X,O,X,X,X,O,X,X,O,O,X
STLSJOI,X,X,X,X,O,X,X,O,O,X,X,O,O,X
STLSJOZ,X,X,X,X,O,X,X,O,O,X,X,O,O,X
STLSZIJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSZIO,O,X,O,X,X,X,X,X,X,X,X,O,O,X
STLSZJI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
STLSZJO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
STLSZOI,O,X,O,X,X,X,X,X,X,X,X,O,O,X
STLSZOJ,X,X,O,X,X,X,X,X,X,X,O,O,O,X
