sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
SZIJSOL,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SZIJOTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SZIJOTS,X,O,O,X,X,O,O,O,X,X,X,X,X,X
SZIJOLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SZIJOLS,X,O,X,O,X,O,O,X,X,X,X,X,X,X
SZIJOST,X,O,O,X,O,O,O,X,X,X,X,X,X,X
SZIJOSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SZISTLJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X
SZISTLO,O,X,O,O,X,X,X,X,X,X,X,O,O,X
SZISTJL,X,X,O,X,X,O,X,X,X,X,X,O,O,O
SZISTJO,X,O,O,X,X,O,X,X,X,X,X,O,O,O
SZISTOL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
SZISTOJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X
SZISLTJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
SZISLTO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
SZISLJT,X,X,X,O,X,O,X,X,O,X,X,X,X,O
SZISLJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X
SZISLOT,O,X,O,O,X,X,X,X,X,X,X,X,X,X
SZISLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SZISJTL,X,X,O,X,O,O,X,X,X,X,X,O,O,O
SZISJTO,X,O,O,X,O,O,X,X,X,X,X,O,O,O
SZISJLT,X,X,O,X,X,O,X,X,O,X,X,X,X,O
SZISJLO,X,O,O,X,X,O,X,X,X,X,X,X,X,X
SZISJOT,X,O,O,X,O,O,X,X,X,X,X,O,X,O
SZISJOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
SZISOTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
SZISOTJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X
SZISOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
SZISOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SZISOJT,X,O,O,X,O,O,X,X,X,X,X,O,X,O
SZISOJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
SZIOTLJ,O,X,X,O,X,X,X,X,X,X,O,X,X,X
SZIOTLS,O,X,O,O,X,X,X,X,X,X,X,X,X,X
SZIOTJL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SZIOTJS,X,O,O,X,X,O,O,O,X,X,X,X,X,X
SZIOTSL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
SZIOTSJ,X,O,O,X,X,O,X,O,X,X,X,O,X,X
SZIOLTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZIOLTS,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZIOLJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZIOLJS,X,O,X,O,X,X,X,X,X,O,X,X,X,X
SZIOLST,O,O,O,O,X,X,X,X,X,O,X,X,X,X
SZIOLSJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X
SZIOJTL,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SZIOJTS,X,O,O,X,X,O,O,O,X,X,X,X,X,X
SZIOJLT,O,X,X,O,X,O,O,X,X,X,X,X,X,X
SZIOJLS,X,O,X,O,X,O,O,X,X,X,X,X,X,X
SZIOJST,X,O,O,X,O,O,O,X,X,X,X,X,X,X
SZIOJSL,X,O,X,X,X,O,O,X,X,X,X,X,X,X
SZIOSTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
SZIOSTJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X
SZIOSLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
SZIOSLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SZIOSJT,X,O,O,X,O,O,X,X,X,X,X,O,X,O
SZIOSJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
SZLTIJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLTIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLTISJ,O,X,X,O,X,X,X,X,X,X,X,X,O,X
SZLTISO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLTIOJ,O,X,X,O,X,X,X,X,X,O,O,X,X,X
SZLTIOS,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLTJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLTJIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLTJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLTJSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZLTJOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SZLTJOS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SZLTSIJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
SZLTSIO,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZLTSJI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZLTSJO,X,X,O,X,X,X,X,O,O,X,X,O,O,X
SZLTSOI,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZLTSOJ,X,X,O,X,X,X,X,O,X,X,O,O,O,X
SZLTOIJ,O,X,X,O,X,X,X,X,X,O,O,X,X,X
SZLTOIS,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLTOJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SZLTOJS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SZLTOSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X
SZLTOSJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
SZLITJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLITJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLITSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLITSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLITOJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLITOS,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLIJTS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLIJTO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLIJST,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLIJSO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SZLIJOT,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLIJOS,X,O,X,O,X,X,X,X,X,O,X,X,X,X
SZLISTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
SZLISTO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
SZLISJT,X,X,X,O,X,X,X,X,O,X,X,X,X,O
SZLISJO,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SZLISOT,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLISOJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLIOTJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLIOTS,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLIOJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLIOJS,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLIOST,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLIOSJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLJTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJTSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZLJTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJTOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZLJITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZLJIOT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SZLJIOS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZLJSTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZLJSTO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZLJSIT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZLJSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZLJSOT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZLJSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZLJOTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZLJOIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SZLJOIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZLJOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLSTIJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
SZLSTIO,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZLSTJI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZLSTJO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZLSTOI,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZLSTOJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X
SZLSITJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLSITO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
SZLSIJT,X,X,X,X,X,X,X,X,O,X,X,X,X,O
SZLSIJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZLSIOT,O,X,O,X,X,X,X,X,X,O,X,X,X,X
SZLSIOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
SZLSJTI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZLSJTO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZLSJIT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SZLSJIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZLSJOT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SZLSJOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZLSOTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X
SZLSOTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
SZLSOIT,O,O,O,X,X,X,X,X,X,O,X,X,X,X
SZLSOIJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZLSOJT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SZLSOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZLOTIJ,O,X,X,O,X,X,X,X,X,O,O,X,X,X
SZLOTIS,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLOTJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SZLOTJS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SZLOTSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X
SZLOTSJ,X,X,O,X,X,X,X,O,X,X,O,O,X,X
SZLOITJ,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLOITS,O,X,O,O,X,X,X,X,X,O,X,X,X,X
SZLOIJT,O,X,X,O,X,X,X,X,X,O,X,X,X,X
SZLOIJS,X,O,X,O,X,X,X,X,X,O,X,X,X,X
SZLOIST,O,O,O,O,X,X,X,X,X,O,X,X,X,X
SZLOISJ,X,O,X,O,X,X,X,X,X,O,X,X,X,X
SZLOJTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLOJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZLOJIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SZLOJIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZLOJST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZLOSTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X
SZLOSTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
SZLOSIT,O,O,O,X,X,X,X,X,X,O,X,X,X,X
SZLOSIJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZLOSJT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SZLOSJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJTILS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJTILO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJTISL,X,X,X,X,X,X,O,X,X,X,X,X,O,X
SZJTISO,X,O,X,X,X,X,O,O,X,X,X,X,O,X
SZJTIOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJTIOS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SZJTLIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJTLIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJTLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJTLSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZJTLOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SZJTLOS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SZJTSIL,X,X,O,X,O,X,X,X,X,X,X,O,O,X
SZJTSIO,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZJTSLI,X,X,O,X,O,X,X,X,X,X,X,O,O,X
SZJTSLO,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SZJTSOI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZJTSOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SZJTOIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJTOIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SZJTOLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SZJTOLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SZJTOSI,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SZJTOSL,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SZJITLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJITLO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJITSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
SZJITSO,X,O,X,X,X,X,O,O,X,X,X,X,X,X
SZJITOL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJITOS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SZJILTS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJILTO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJILST,X,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJILSO,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SZJILOT,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJILOS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SZJISTL,X,X,X,X,O,X,O,X,X,X,X,X,X,O
SZJISTO,X,O,O,X,O,X,O,X,X,X,X,X,X,O
SZJISLT,X,X,X,X,X,X,O,X,X,X,X,X,X,O
SZJISLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SZJISOT,X,O,O,X,O,X,O,X,X,X,X,X,X,O
SZJISOL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SZJIOTL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJIOTS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SZJIOLT,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJIOLS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SZJIOST,X,O,O,X,O,X,O,X,X,X,X,X,X,X
SZJIOSL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SZJLTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLTIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLTSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZJLTOI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLTOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZJLITS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLITO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLIST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLISO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZJLIOT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SZJLIOS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZJLSTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZJLSTO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZJLSIT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZJLSIO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZJLSOT,X,X,X,X,X,X,X,X,O,X,X,X,X,X
SZJLSOI,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZJLOTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZJLOIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SZJLOIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZJLOST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJLOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJSTIL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SZJSTIO,X,O,O,X,O,X,X,O,X,X,X,O,O,O
SZJSTLI,X,X,O,X,O,X,X,X,O,X,X,O,O,X
SZJSTLO,X,X,O,X,O,X,X,O,O,X,X,O,O,X
SZJSTOI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZJSTOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SZJSITL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SZJSITO,X,O,O,X,O,X,X,X,X,X,X,O,O,O
SZJSILT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SZJSILO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJSIOT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SZJSIOL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJSLTI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZJSLTO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZJSLIT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SZJSLIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJSLOT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SZJSLOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJSOTI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZJSOTL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZJSOIT,X,O,O,X,O,X,X,X,X,X,X,O,X,O
SZJSOIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJSOLT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SZJSOLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJOTIL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJOTIS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SZJOTLI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
SZJOTLS,X,X,X,X,X,X,X,O,X,X,O,X,X,X
SZJOTSI,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SZJOTSL,X,X,O,X,O,X,X,O,X,X,X,O,X,X
SZJOITL,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJOITS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
SZJOILT,O,X,X,O,X,X,O,X,X,X,X,X,X,X
SZJOILS,X,O,X,O,X,X,O,X,X,X,X,X,X,X
SZJOIST,X,O,O,X,O,X,O,X,X,X,X,X,X,X
SZJOISL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
SZJOLTI,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJOLTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X
SZJOLIT,O,X,X,X,X,X,X,X,X,O,X,X,X,X
SZJOLIS,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZJOLST,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJOLSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
SZJOSTI,X,O,O,X,O,X,X,O,X,X,X,O,X,X
SZJOSTL,X,O,O,X,O,X,X,O,X,X,X,O,X,X
SZJOSIT,X,O,O,X,O,X,X,X,X,X,X,O,X,X
SZJOSIL,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZJOSLT,X,X,O,X,X,X,X,X,X,X,X,O,X,X
SZJOSLI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZSTILJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X
SZSTILO,O,X,O,O,X,X,X,X,X,X,X,O,O,X
SZSTIJL,X,X,O,X,X,O,X,X,X,X,X,O,O,O
SZSTIJO,X,O,O,X,X,O,X,O,X,X,X,O,O,O
SZSTIOL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
SZSTIOJ,X,X,O,X,X,O,X,O,X,X,X,O,O,X
SZSTLIJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
SZSTLIO,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZSTLJI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZSTLJO,X,X,O,X,X,X,X,O,O,X,X,O,O,X
SZSTLOI,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZSTLOJ,X,X,O,X,X,X,X,O,X,X,O,O,O,X
SZSTJIL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SZSTJIO,X,O,O,X,O,X,X,O,X,X,X,O,O,O
SZSTJLI,X,X,O,X,O,X,X,X,O,X,X,O,O,X
SZSTJLO,X,X,O,X,O,X,X,O,O,X,X,O,O,X
SZSTJOI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZSTJOL,X,X,O,X,O,X,X,O,X,X,X,O,O,X
SZSTOIL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
SZSTOIJ,X,O,O,X,X,X,X,O,X,X,X,O,O,X
SZSTOLI,O,O,O,X,X,X,X,X,X,X,X,O,O,X
SZSTOLJ,X,O,O,X,X,X,X,O,X,X,O,O,O,X
SZSTOJI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZSTOJL,X,O,O,X,O,X,X,O,X,X,X,O,O,X
SZSITLJ,O,X,X,O,X,O,X,X,X,X,X,O,O,X
SZSITLO,O,X,O,O,X,X,X,X,X,X,X,O,O,X
SZSITJL,X,X,O,X,X,O,X,X,X,X,X,O,O,O
SZSITJO,X,O,O,X,X,O,X,X,X,X,X,O,O,O
SZSITOL,O,X,O,O,X,X,X,X,X,X,X,O,X,X
SZSITOJ,X,X,O,X,X,O,X,X,X,X,X,O,O,X
SZSILTJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X
SZSILTO,O,X,O,O,X,X,X,X,X,X,X,X,X,X
SZSILJT,X,X,X,O,X,O,X,X,O,X,X,X,X,O
SZSILJO,X,O,X,O,X,O,X,X,X,X,X,X,X,X
SZSILOT,O,X,O,O,X,X,X,X,X,X,X,X,X,X
SZSILOJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
SZSIJTL,X,X,O,X,O,O,X,X,X,X,X,O,O,O
SZSIJTO,X,O,O,X,O,O,X,X,X,X,X,O,O,O
SZSIJLT,X,X,O,X,X,O,X,X,O,X,X,X,X,O
SZSIJLO,X,O,O,X,X,O,X,X,X,X,X,X,X,X
SZSIJOT,X,O,O,X,O,O,X,X,X,X,X,O,X,O
SZSIJOL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
SZSIOTL,O,O,O,O,X,X,X,X,X,X,X,O,X,X
SZSIOTJ,X,O,O,X,X,O,X,X,X,X,X,O,X,X
SZSIOLT,O,O,O,O,X,X,X,X,X,X,X,X,X,X
SZSIOLJ,X,O,X,O,X,X,X,X,X,X,X,X,X,X
SZSIOJT,X,O,O,X,O,O,X,X,X,X,X,O,X,O
SZSIOJL,X,O,O,X,X,O,X,X,X,X,X,X,X,X
SZSLTIJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
SZSLTIO,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZSLTJI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZSLTJO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZSLTOI,O,X,O,X,X,X,X,X,X,X,X,O,O,X
SZSLTOJ,X,X,O,X,X,X,X,X,X,X,X,O,O,X
SZSLITJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
SZSLITO,O,X,O,X,X,X,X,X,X,X,X,X,X,X
SZSLIJT,X,X,X,X,X,X,X,X,O,X,X,X,X,O
SZSLIJO,X,O,X,X,X,X,X,X,X,X,X,X,X,X
SZSLIOT,O,X,O,X,X,X,X,X,X,O,X,X,X,X
SZSLIOJ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
SZSLJTI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZSLJTO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
SZSLJIT,X,X,O,X,X,X,X,X,O,X,X,X,X,O
SZSLJIO,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZSLJOT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SZSLJOI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZSLOTI,O,O,O,X,X,X,X,X,X,X,X,O,X,X
SZSLOTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X
SZSLOIT,O,O,O,X,X,X,X,X,X,O,X,X,X,X
SZSLOIJ,X,O,X,X,X,X,X,X,X,O,X,X,X,X
SZSLOJT,X,X,O,X,X,X,X,X,O,X,X,O,X,X
SZSLOJI,X,O,O,X,X,X,X,X,X,X,X,X,X,X
SZSJTIL,X,X,O,X,O,X,X,X,X,X,X,O,O,O
SZSJTIO,X,O,O,X,O,X,X,O,X,X,X,O,O,O
SZSJTLI,X,X,O,X,O,X,X,X,O,X,X,O,O,X
SZSJTLO,X,X,O,X,O,X,X,O,O,X,X,O,O,X
SZSJTOI,X,O,O,X,O,X,X,O,X,X,X,O,O,X
