sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeFAJvhFxhBTjBUmBXsBTtBGsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhBTjBxrBTtB8rB+sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeRAJvhFXiBTjBmlB9sBqrBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBumBTjBXsBTtB9sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB
OTLIJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLISJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTLISJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLISZJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTLISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTLISOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTLIZJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTLIZJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
OTLIZSJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
OTLIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTLIZOJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OTLIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OTLIOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
OTLIOZJ,O,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X
OTLIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X
OTLJISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLJIZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTLJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJIOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLJSIZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJSIO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLJSZI,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
