sequence,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamB5nBTjBdsBur?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBTjB/rBNsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhERhBGjBTmBXsBls?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEFhBXiBTjBxrBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEtmBTjBmlBXsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhBTjBxrB8rB+s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhB5nBTjBmrB8r?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBxmBFmBXnBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamBumBTjBXsB9s?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEXiBTjBmlB9sBqr?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBimB9sBGmBXs?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhB/rBxnBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBxiB/rBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhExhBTjBUmBXsBGs?B
ZIJLTOS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIJLSTO,X,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIJLSOT,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZIJLOTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIJLOST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZIJSTLO,X,X,X,X,O,O,O,X,X,X,X,O,X,X
ZIJSTOL,X,X,O,X,O,O,O,X,X,X,X,O,X,X
ZIJSLTO,X,X,X,X,X,O,O,X,X,X,X,O,X,X
ZIJSLOT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ZIJSOTL,X,X,O,X,O,O,O,X,X,X,X,O,X,X
ZIJSOLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ZIJOTLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIJOTSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
ZIJOLTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIJOLST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZIJOSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
ZIJOSLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ZISTLJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
ZISTLOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZISTJLO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
ZISTJOL,X,O,O,X,X,O,X,X,X,X,X,O,O,O
ZISTOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZISTOJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
ZISLTJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZISLTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZISLJTO,X,X,X,O,X,O,X,X,O,X,X,O,X,X
ZISLJOT,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZISLOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZISLOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZISJTLO,X,O,X,X,O,O,X,X,X,X,X,O,O,O
ZISJTOL,X,O,O,X,O,O,X,X,X,X,X,O,O,O
ZISJLTO,X,X,X,X,X,O,X,X,O,X,X,O,X,O
ZISJLOT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ZISJOTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
ZISJOLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ZISOTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ZISOTJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
ZISOLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZISOLJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZISOJTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
ZISOJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ZIOTLJS,O,X,X,O,X,X,X,X,X,X,O,X,X,X
ZIOTLSJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZIOTJLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIOTJSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
ZIOTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ZIOTSJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
ZIOLTJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZIOLTSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZIOLJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZIOLJST,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZIOLSTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
ZIOLSJT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZIOJTLS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIOJTSL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
ZIOJLTS,O,X,X,O,X,O,O,X,X,X,X,X,X,X
ZIOJLST,X,X,O,O,X,O,O,X,X,X,X,X,X,X
ZIOJSTL,X,X,O,X,O,O,O,X,X,X,X,X,X,X
ZIOJSLT,X,X,O,X,X,O,O,X,X,X,X,X,X,X
ZIOSTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ZIOSTJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
ZIOSLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZIOSLJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZIOSJTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
ZIOSJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ZLTIJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTIJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTISJO,O,X,X,O,X,X,X,X,X,X,X,X,O,X
ZLTISOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLTIOJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
ZLTIOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZLTJISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLTJOIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLTJOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLTSIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZLTSIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLTSJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZLTSJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZLTSOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLTSOJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
ZLTOIJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
ZLTOISJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZLTOJIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLTOJSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLTOSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLTOSJI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
ZLITJSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITJOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITSJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITSOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLITOJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLITOSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZLIJTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJSTO,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLIJSOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLIJOTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLIJOST,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZLISTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLISTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X
ZLISJTO,X,X,X,O,X,X,X,X,O,X,X,O,X,X
ZLISJOT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZLISOTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLISOJT,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLIOTJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLIOTSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZLIOJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLIOJST,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLIOSTJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLIOSJT,X,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLJTISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJTOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJITSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJITOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJISTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJISOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJIOTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLJIOST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLJSTIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLJSTOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLJSITO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLJSIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJSOTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZLJSOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLJOTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLJOIST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLJOSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLJOSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSTIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZLSTIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSTJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZLSTJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZLSTOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSTOJI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ZLSITJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLSITOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZLSIJTO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
ZLSIJOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZLSIOTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
ZLSIOJT,X,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLSJTIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZLSJTOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZLSJITO,X,X,X,X,X,X,X,X,O,X,X,O,X,O
ZLSJIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLSJOTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
ZLSJOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLSOTIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ZLSOTJI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ZLSOITJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O
ZLSOIJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLSOJTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
ZLSOJIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZLOTIJS,O,X,X,O,X,X,X,O,X,X,O,X,X,X
ZLOTISJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZLOTJIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOTJSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZLOTSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X,O
ZLOTSJI,X,O,X,X,X,X,X,X,X,X,O,X,X,O
ZLOITJS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLOITSJ,O,X,X,O,X,X,X,O,X,X,X,X,X,O
ZLOIJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,X
ZLOIJST,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZLOISTJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X
ZLOISJT,X,X,O,O,X,X,X,O,X,X,X,X,X,X
ZLOJTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZLOJIST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLOJSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOJSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZLOSTIJ,O,O,O,X,X,X,X,X,X,X,X,X,X,O
ZLOSTJI,X,O,O,X,X,X,X,X,X,X,X,X,X,O
ZLOSITJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O
ZLOSIJT,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZLOSJTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
ZLOSJIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJTILSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJTILOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJTISLO,X,X,X,X,X,X,O,X,X,X,X,X,O,X
ZJTISOL,X,X,O,X,X,X,O,X,X,X,X,X,O,X
ZJTIOLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJTIOSL,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJTLISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJTLOIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJTLOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJTSILO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJTSIOL,X,O,O,X,X,X,X,X,X,X,X,X,O,O
ZJTSLIO,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJTSLOI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ZJTSOIL,X,O,O,X,X,X,X,X,X,X,X,X,O,O
ZJTSOLI,X,O,X,X,X,X,X,X,X,O,X,X,O,O
ZJTOILS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJTOISL,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJTOLIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJTOLSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJTOSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJTOSLI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJITLSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJITLOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJITSLO,X,X,X,X,X,X,O,X,X,X,X,X,X,X
ZJITSOL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJITOLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJITOSL,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJILTSO,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJILTOS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJILSTO,X,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJILSOT,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJILOTS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJILOST,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJISTLO,X,X,X,X,O,X,O,X,X,X,X,O,X,X
ZJISTOL,X,X,O,X,O,X,O,X,X,X,X,O,X,X
ZJISLTO,X,X,X,X,X,X,O,X,X,X,X,O,X,X
ZJISLOT,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJISOTL,X,X,O,X,O,X,O,X,X,X,X,O,X,X
ZJISOLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJIOTLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJIOTSL,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJIOLTS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJIOLST,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJIOSTL,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZJIOSLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJLTISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTOIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLTOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLITSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLITOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLISTO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLISOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLIOTS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLIOST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJLSTIO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJLSTOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJLSITO,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJLSIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLSOTI,X,X,X,X,X,X,X,X,O,X,X,X,X,X
ZJLSOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,X
ZJLOTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJLOIST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJLOSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJLOSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJSTILO,X,O,X,X,O,X,X,X,X,X,X,O,O,O
ZJSTIOL,X,O,O,X,O,X,X,X,X,X,X,O,O,O
ZJSTLIO,X,O,X,X,O,X,X,X,O,X,X,X,O,O
ZJSTLOI,X,O,X,X,O,X,X,X,O,X,X,X,O,O
ZJSTOIL,X,O,O,X,O,X,X,X,X,X,X,X,O,O
ZJSTOLI,X,O,X,X,O,X,X,X,X,X,X,X,O,O
ZJSITLO,X,O,X,X,O,X,X,X,X,X,X,O,O,O
ZJSITOL,X,O,O,X,O,X,X,X,X,X,X,O,O,O
ZJSILTO,X,X,X,X,X,X,X,X,O,X,X,O,X,O
ZJSILOT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJSIOTL,X,O,O,X,O,X,X,X,X,X,X,O,X,O
ZJSIOLT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJSLTIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZJSLTOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZJSLITO,X,X,X,X,X,X,X,X,O,X,X,O,X,O
ZJSLIOT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJSLOTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
ZJSLOIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJSOTIL,X,O,O,X,O,X,X,X,X,X,X,X,O,O
ZJSOTLI,X,O,O,X,O,X,X,X,X,X,X,X,O,O
ZJSOITL,X,O,O,X,O,X,X,X,X,X,X,O,X,O
ZJSOILT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJSOLTI,X,O,X,X,X,X,X,X,O,X,X,X,X,O
ZJSOLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJOTILS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOTISL,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJOTLIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOTLSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
ZJOTSIL,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJOTSLI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
ZJOITLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOITSL,X,X,O,X,X,X,O,X,X,X,X,X,X,O
ZJOILTS,O,X,X,O,X,X,O,X,X,X,X,X,X,X
ZJOILST,X,X,O,O,X,X,O,X,X,X,X,X,X,X
ZJOISTL,X,X,O,X,O,X,O,X,X,X,X,X,X,X
ZJOISLT,X,X,O,X,X,X,O,X,X,X,X,X,X,X
ZJOLTIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLTSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X
ZJOLIST,X,X,O,X,X,X,X,O,X,X,X,X,X,X
ZJOLSTI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOLSIT,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ZJOSTIL,X,O,O,X,O,X,X,X,X,X,X,X,X,O
ZJOSTLI,X,O,O,X,O,X,X,X,X,X,X,X,X,O
ZJOSITL,X,O,O,X,O,X,X,X,X,X,X,X,X,O
ZJOSILT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZJOSLTI,X,O,X,X,X,X,X,X,X,X,X,X,X,O
ZJOSLIT,X,X,O,X,X,X,X,X,X,X,X,X,X,O
ZSTILJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
ZSTILOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSTIJLO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
ZSTIJOL,X,O,O,X,X,O,X,X,X,X,X,O,O,O
ZSTIOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSTIOJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
ZSTLIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZSTLIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTLJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZSTLJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZSTLOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSTLOJI,X,O,X,X,X,X,X,X,X,X,O,X,O,O
ZSTJILO,X,O,X,X,O,X,X,X,X,X,X,O,O,O
ZSTJIOL,X,O,O,X,O,X,X,X,X,X,X,O,O,O
ZSTJLIO,X,O,X,X,O,X,X,X,O,X,X,X,O,O
ZSTJLOI,X,O,X,X,O,X,X,X,O,X,X,X,O,O
ZSTJOIL,X,O,O,X,O,X,X,X,X,X,X,X,O,O
ZSTJOLI,X,O,X,X,O,X,X,X,X,X,X,X,O,O
ZSTOILJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ZSTOIJL,X,O,O,X,X,X,X,X,X,X,X,X,O,O
ZSTOLIJ,O,O,O,X,X,X,X,X,X,X,X,X,O,O
ZSTOLJI,X,O,O,X,X,X,X,X,X,X,O,X,O,O
ZSTOJIL,X,O,O,X,O,X,X,X,X,X,X,X,O,O
ZSTOJLI,X,O,O,X,O,X,X,X,X,X,X,X,O,O
ZSITLJO,O,O,X,O,X,O,X,X,X,X,X,X,O,X
ZSITLOJ,O,O,X,O,X,X,X,X,X,X,X,X,O,O
ZSITJLO,X,O,X,X,X,O,X,X,X,X,X,O,O,O
ZSITJOL,X,O,O,X,X,O,X,X,X,X,X,O,O,O
ZSITOLJ,O,O,X,O,X,X,X,X,X,X,X,X,X,O
ZSITOJL,X,O,X,X,X,O,X,X,X,X,X,X,O,O
ZSILTJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X
ZSILTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSILJTO,X,X,X,O,X,O,X,X,O,X,X,O,X,X
ZSILJOT,X,X,O,O,X,O,X,X,X,X,X,X,X,X
ZSILOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
ZSILOJT,X,X,X,O,X,X,X,X,X,X,X,X,X,X
ZSIJTLO,X,O,X,X,O,O,X,X,X,X,X,O,O,O
ZSIJTOL,X,O,O,X,O,O,X,X,X,X,X,O,O,O
ZSIJLTO,X,X,X,X,X,O,X,X,O,X,X,O,X,O
ZSIJLOT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ZSIJOTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
ZSIJOLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ZSIOTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X,O
ZSIOTJL,X,O,O,X,X,O,X,X,X,X,X,X,X,O
ZSIOLTJ,O,X,O,O,X,X,X,X,X,X,X,X,X,O
ZSIOLJT,X,X,O,O,X,X,X,X,X,X,X,X,X,X
ZSIOJTL,X,O,O,X,O,O,X,X,X,X,X,O,X,O
ZSIOJLT,X,X,O,X,X,O,X,X,X,X,X,X,X,O
ZSLTIJO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
ZSLTIOJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLTJIO,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZSLTJOI,X,O,X,X,X,X,X,X,O,X,X,X,O,O
ZSLTOIJ,O,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLTOJI,X,O,X,X,X,X,X,X,X,X,X,X,O,O
ZSLITJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
ZSLITOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
ZSLIJTO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
