sequence,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamB5nBTjBdsBur?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBTjB/rBNsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhERhBGjBTmBXsBls?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEFhBXiBTjBxrBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEtmBTjBmlBXsB6s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhBTjBxrB8rB+s?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhEXhB5nBTjBmrB8r?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBxmBFmBXnBSx?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEamBumBTjBXsB9s?B,v115@9gA8IeB8HeD8DeG8CeB8JeRAJvhEXiBTjBmlB9sBqr?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhETjBimB9sBGmBXs?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhB/rBxnBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeUAJvhEGhBxiB/rBNsBCt?B,v115@9gA8IeB8HeD8DeG8CeB8JeFAJvhExhBTjBUmBXsBGs?B
TJIZLSO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZLOS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TJIZSOL,X,X,X,X,X,O,O,X,X,X,X,X,O,X
TJIZOLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TJIOSZL,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOIZS,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLOZIS,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSILZO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSILOZ,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSIZLO,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TJSIZOL,X,O,X,X,O,O,O,X,X,X,X,X,O,X
TJSIOLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TJSIOZL,X,O,X,X,O,X,O,X,X,X,X,X,O,X
TJSLIZO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSLIOZ,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSLZIO,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSLZOI,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TJSLOIZ,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TJSLOZI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TJSZILO,X,O,X,X,O,X,X,X,X,X,X,X,O,O
TJSZIOL,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TJSZLIO,X,O,X,X,O,X,X,X,X,X,X,X,O,O
TJSZLOI,X,O,X,X,O,X,X,X,X,X,X,X,O,O
TJSZOIL,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TJSZOLI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
TJSOILZ,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TJSOIZL,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TJSOLIZ,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TJSOLZI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
