sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB
OTLJZOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTLJOIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLJOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLJOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLJOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLSIJZ,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
OTLSIJO,O,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
OTLSIZJ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OTLSIZO,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
OTLSIOJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLSIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLSJIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OTLSJIO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OTLSJZI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTLSJZO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTLSJOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OTLSJOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OTLSZIJ,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
OTLSZIO,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
OTLSZJI,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X
OTLSZJO,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X
OTLSZOI,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
OTLSZOJ,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
OTLSOIJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLSOIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLSOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLSOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLSOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLSOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLZIJS,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZIJO,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZISJ,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X
OTLZISO,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X
OTLZIOJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZIOS,X,O,X,X,O,O,X,X,X,X,O,X,O,X,X,X
