sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFxgBliB3mBTpB0qBiqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0hBliBTpBxqBKqBfrB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBRiBNqBCnBerBTpB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFamBumB3iBTpB0qBNqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBxlB0lBlmBTpB2vB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB
OTLJZOI,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OTLJZOS,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
OTLJOIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLJOSI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OTLJOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OTLJOZI,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTLJOZS,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTLSIJZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
OTLSIJO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
OTLSIZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLSIZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OTLSIOJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLSIOZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLSJIZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OTLSJIO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OTLSJZI,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OTLSJZO,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OTLSJOI,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OTLSJOZ,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
OTLSZIJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OTLSZIO,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OTLSZJI,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OTLSZJO,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OTLSZOI,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OTLSZOJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
OTLSOIJ,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLSOIZ,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTLSOJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OTLSOJZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
OTLSOZI,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLSOZJ,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
OTLZIJS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OTLZIJO,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OTLZISJ,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O
OTLZISO,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,X,O
OTLZIOJ,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,O
OTLZIOS,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,O
OTLZJIS,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OTLZJIO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OTLZJSI,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OTLZJSO,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X,X,O
OTLZJOI,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O
OTLZJOS,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X,O
OTLZSIJ,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
OTLZSIO,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,O
