sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STLZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJOI,X,O,X,X,X,X,X,X,X,O,X,X,X
STLZJOS,X,X,X,X,X,X,X,X,X,O,X,X,X
STLZSIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
STLZSIO,O,O,X,X,X,X,X,X,X,X,O,O,X
STLZSJI,O,X,X,X,X,X,X,O,X,X,O,O,X
STLZSJO,O,X,X,X,X,X,X,O,X,X,O,O,X
STLZSOI,O,O,X,X,X,X,X,X,X,X,O,O,X
STLZSOJ,O,X,X,X,X,X,X,X,X,O,O,O,X
STLZOIJ,X,O,X,X,X,X,X,X,O,O,X,X,X
STLZOIS,X,O,X,X,X,X,X,X,O,X,O,X,X
STLZOJI,X,O,X,X,X,X,X,X,X,O,X,X,X
STLZOJS,X,X,X,X,X,X,X,X,X,O,X,X,X
STLZOSI,O,O,X,X,X,X,X,X,X,X,O,X,X
STLZOSJ,O,X,X,X,X,X,X,X,X,O,O,X,X
STLOIJS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOIJZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STLOISJ,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOISZ,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOIZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
STLOIZS,X,O,X,X,X,X,X,X,O,X,X,X,X
STLOJIS,X,O,X,X,X,X,X,X,X,X,X,X,X
STLOJIZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STLOJSI,O,X,X,X,O,X,O,X,X,X,X,X,X
STLOJSZ,O,X,X,X,O,X,O,X,X,X,X,X,X
STLOJZI,X,O,X,X,X,X,X,X,X,O,X,X,X
STLOJZS,X,X,X,X,X,X,X,X,X,O,X,X,X
STLOSIJ,O,O,X,X,X,X,X,X,X,X,X,X,X
STLOSIZ,O,O,X,X,X,X,X,X,X,X,X,X,X
STLOSJI,O,X,X,X,O,X,O,X,X,X,X,X,X
STLOSJZ,O,X,X,X,O,X,O,X,X,X,X,X,X
STLOSZI,O,O,X,X,X,X,X,X,X,X,O,X,X
STLOSZJ,O,X,X,X,X,X,X,X,X,O,O,X,X
STLOZIJ,X,O,X,X,X,X,X,X,O,O,X,X,X
STLOZIS,X,O,X,X,X,X,X,X,O,X,O,X,X
STLOZJI,X,O,X,X,X,X,X,X,X,O,X,X,X
STLOZJS,X,X,X,X,X,X,X,X,X,O,X,X,X
STLOZSI,O,O,X,X,X,X,X,X,X,X,O,X,X
STLOZSJ,O,X,X,X,X,X,X,X,X,O,O,X,X
STJILSZ,X,O,X,X,X,X,X,X,X,X,X,O,X
STJILSO,X,O,X,X,X,X,X,X,X,X,X,X,X
STJILZS,X,O,X,X,X,O,X,X,X,X,X,X,X
STJILZO,X,O,X,X,X,O,X,X,X,X,X,X,X
STJILOS,X,O,X,X,X,X,X,X,X,X,X,X,X
STJILOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STJISLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
STJISLO,O,X,X,X,O,X,X,X,X,X,X,O,X
STJISZL,O,X,X,X,O,O,X,X,X,X,X,O,O
