sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
SISLJZO,X,X,X,O,X,X,X,X,X,X,X,X,X
SISLJOT,X,X,X,O,O,X,X,X,X,X,X,X,X
SISLJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SISLZTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLZTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLZJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SISLZJO,X,X,X,O,X,X,X,X,X,X,X,X,X
SISLZOT,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLZOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
SISLOTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLOTZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLOJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SISLOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X
SISLOZT,X,O,X,O,X,X,X,X,X,X,X,X,X
SISLOZJ,X,X,X,O,X,X,X,X,X,X,X,X,X
SISJTLZ,O,X,X,X,O,X,X,X,X,X,X,O,X
SISJTLO,O,X,X,X,O,X,X,X,X,X,X,O,X
SISJTZL,O,X,X,X,O,O,X,X,X,X,X,O,O
SISJTZO,O,X,X,O,O,O,X,X,X,X,X,O,O
SISJTOL,O,X,X,X,O,X,X,X,X,X,X,X,X
SISJTOZ,O,X,X,O,O,O,X,X,X,X,X,O,X
SISJLTZ,X,X,X,X,O,X,X,O,X,X,X,X,X
SISJLTO,X,X,X,X,O,X,X,O,X,X,X,X,X
SISJLZT,X,X,X,X,X,X,X,O,X,X,X,X,O
SISJLZO,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJLOT,X,X,X,X,O,X,X,X,X,X,X,X,X
SISJLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X
SISJZTL,O,X,X,X,O,O,X,X,X,X,X,O,O
SISJZTO,O,X,O,O,O,O,X,X,X,X,X,O,O
SISJZLT,X,X,X,X,X,O,X,O,X,X,X,X,O
SISJZLO,X,X,O,X,X,O,X,X,X,X,X,X,X
SISJZOT,O,X,O,O,O,O,X,X,X,X,X,X,O
SISJZOL,X,X,O,X,X,O,X,X,X,X,X,X,X
SISJOTL,O,X,X,X,O,X,X,X,X,X,X,X,X
SISJOTZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SISJOLT,X,X,X,X,O,X,X,X,X,X,X,X,X
SISJOLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SISJOZT,O,X,O,O,O,O,X,X,X,X,X,X,O
SISJOZL,X,X,O,X,X,O,X,X,X,X,X,X,X
SISZTLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SISZTLO,O,O,X,O,X,X,X,X,X,X,O,O,X
SISZTJL,O,X,X,X,X,X,X,X,X,X,O,O,O
SISZTJO,O,X,O,O,X,X,X,X,X,X,O,O,O
SISZTOL,O,O,X,O,X,X,X,X,X,X,O,X,X
SISZTOJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SISZLTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SISZLTO,X,O,X,O,X,X,X,X,X,X,O,X,X
SISZLJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SISZLJO,X,X,O,O,X,X,X,X,X,X,X,X,X
SISZLOT,X,O,X,O,X,X,X,X,X,X,O,X,X
SISZLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
SISZJTL,O,X,X,X,O,X,X,X,X,X,O,O,O
SISZJTO,O,X,O,O,O,X,X,X,X,X,O,O,O
SISZJLT,X,X,X,X,X,X,X,O,X,X,O,X,O
SISZJLO,X,X,O,X,X,X,X,X,X,X,O,X,X
SISZJOT,O,X,O,O,O,X,X,X,X,X,O,X,O
SISZJOL,X,X,O,X,X,X,X,X,X,X,O,X,X
SISZOTL,O,O,O,O,X,X,X,X,X,X,O,X,X
SISZOTJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SISZOLT,X,O,O,O,X,X,X,X,X,X,O,X,X
SISZOLJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SISZOJT,O,X,O,O,O,X,X,X,X,X,O,X,O
SISZOJL,X,X,O,X,X,X,X,X,X,X,O,X,X
SISOTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X
SISOTLZ,O,O,O,O,X,X,X,X,X,X,X,X,X
SISOTJL,O,X,O,X,O,X,X,X,X,X,X,X,X
SISOTJZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SISOTZL,O,O,O,O,X,X,X,X,X,X,O,X,X
SISOTZJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SISOLTJ,X,O,O,O,X,X,X,X,X,X,X,X,X
SISOLTZ,X,O,O,O,X,X,X,X,X,X,X,X,X
SISOLJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SISOLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
SISOLZT,X,O,O,O,X,X,X,X,X,X,X,X,X
SISOLZJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SISOJTL,O,X,O,X,O,X,X,X,X,X,X,X,X
SISOJTZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SISOJLT,X,X,X,X,O,X,X,X,X,X,X,X,X
SISOJLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SISOJZT,O,X,O,O,O,O,X,X,X,X,X,X,O
SISOJZL,X,X,O,X,X,O,X,X,X,X,X,X,X
SISOZTL,O,O,O,O,X,X,X,X,X,X,O,X,X
SISOZTJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SISOZLT,X,O,O,O,X,X,X,X,X,X,O,X,X
SISOZLJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SISOZJT,O,X,O,O,O,X,X,X,X,X,O,X,O
SISOZJL,X,X,O,X,X,X,X,X,X,X,O,X,X
SIZTLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZTLJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZTLSJ,X,O,X,O,X,X,X,X,X,X,X,O,X
SIZTLSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZTLOJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SIZTLOS,X,O,X,O,X,X,X,X,X,X,O,X,X
SIZTJLS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZTJLO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZTJSL,X,X,X,X,X,O,X,X,X,X,X,O,X
SIZTJSO,X,X,O,X,X,O,O,X,X,X,X,O,X
SIZTJOL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZTJOS,X,X,O,X,X,O,O,X,X,X,O,X,X
SIZTSLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SIZTSLO,O,O,X,O,X,X,X,X,X,X,O,O,X
SIZTSJL,O,X,X,X,X,X,X,X,X,X,O,O,O
SIZTSJO,O,X,O,O,X,X,O,X,X,X,O,O,O
SIZTSOL,O,O,X,O,X,X,X,X,X,X,O,X,X
SIZTSOJ,O,X,X,O,X,X,O,X,X,X,O,O,X
SIZTOLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SIZTOLS,X,O,X,O,X,X,X,X,X,X,O,X,X
SIZTOJL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZTOJS,X,X,X,X,X,O,O,X,X,X,O,X,X
SIZTOSL,O,O,X,O,X,X,X,X,X,X,O,X,X
SIZTOSJ,O,X,X,O,X,X,O,X,X,X,O,O,X
SIZLTJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZLTJO,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZLTSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZLTSO,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZLTOJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SIZLTOS,X,O,X,O,X,X,X,X,O,X,O,X,X
SIZLJTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZLJTO,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZLJST,X,X,X,O,X,X,X,X,X,X,X,X,X
SIZLJSO,X,X,O,O,X,X,X,X,X,X,X,X,X
SIZLJOT,X,O,X,O,X,X,X,X,O,X,X,X,X
SIZLJOS,X,X,O,O,X,X,X,X,O,X,X,X,X
SIZLSTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZLSTO,X,O,X,O,X,X,X,X,X,X,O,X,X
SIZLSJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SIZLSJO,X,X,O,O,X,X,X,X,X,X,X,X,X
SIZLSOT,X,O,X,O,X,X,X,X,O,X,O,X,X
SIZLSOJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SIZLOTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SIZLOTS,X,O,X,O,X,X,X,X,O,X,O,X,X
SIZLOJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SIZLOJS,X,X,X,O,X,X,X,X,O,X,X,X,X
SIZLOST,X,O,X,O,X,X,X,X,O,X,O,X,X
SIZLOSJ,X,X,X,O,X,X,X,X,O,X,X,X,X
SIZJTLS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJTLO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJTSL,X,X,X,X,X,O,X,X,X,X,X,X,X
SIZJTSO,X,X,O,X,X,O,O,X,X,X,X,X,X
SIZJTOL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJTOS,X,X,O,X,X,O,O,X,X,X,O,X,X
SIZJLTS,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJLTO,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJLST,X,X,X,O,X,O,X,X,X,X,X,X,X
SIZJLSO,X,X,O,O,X,O,X,X,X,X,X,X,X
SIZJLOT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJLOS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIZJSTL,X,X,X,X,O,O,X,X,X,X,X,X,O
SIZJSTO,X,X,O,X,O,O,X,X,X,X,O,X,O
SIZJSLT,X,X,X,X,X,O,X,X,X,X,X,X,O
SIZJSLO,X,X,O,X,X,O,X,X,X,X,X,X,X
SIZJSOT,X,X,O,X,O,O,X,X,X,X,O,X,O
SIZJSOL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIZJOTL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJOTS,X,X,O,X,X,O,O,X,X,X,O,X,X
SIZJOLT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZJOLS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIZJOST,X,X,O,X,O,O,X,X,X,X,O,X,X
SIZJOSL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIZSTLJ,O,O,X,O,X,X,X,X,X,X,X,O,X
SIZSTLO,O,O,X,O,X,X,X,X,X,X,O,O,X
SIZSTJL,O,X,X,X,X,X,X,X,X,X,O,O,O
SIZSTJO,O,X,O,O,X,X,X,X,X,X,O,O,O
SIZSTOL,O,O,X,O,X,X,X,X,X,X,O,X,X
SIZSTOJ,O,X,X,O,X,X,X,X,X,X,O,O,X
SIZSLTJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIZSLTO,X,O,X,O,X,X,X,X,X,X,O,X,X
SIZSLJT,X,X,X,O,X,X,X,O,X,X,X,X,O
SIZSLJO,X,X,O,O,X,X,X,X,X,X,X,X,X
SIZSLOT,X,O,X,O,X,X,X,X,X,X,O,X,X
SIZSLOJ,X,X,X,O,X,X,X,X,X,X,X,X,X
SIZSJTL,O,X,X,X,O,X,X,X,X,X,O,O,O
SIZSJTO,O,X,O,O,O,X,X,X,X,X,O,O,O
SIZSJLT,X,X,X,X,X,X,X,O,X,X,O,X,O
SIZSJLO,X,X,O,X,X,X,X,X,X,X,O,X,X
SIZSJOT,O,X,O,O,O,X,X,X,X,X,O,X,O
SIZSJOL,X,X,O,X,X,X,X,X,X,X,O,X,X
SIZSOTL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIZSOTJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SIZSOLT,X,O,O,O,X,X,X,X,X,X,O,X,X
SIZSOLJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIZSOJT,O,X,O,O,O,X,X,X,X,X,O,X,O
SIZSOJL,X,X,O,X,X,X,X,X,X,X,O,X,X
SIZOTLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SIZOTLS,X,O,X,O,X,X,X,X,X,X,O,X,X
SIZOTJL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZOTJS,X,X,O,X,X,O,O,X,X,X,O,X,X
SIZOTSL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIZOTSJ,O,X,O,O,X,X,O,X,X,X,O,X,X
SIZOLTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SIZOLTS,X,O,X,O,X,X,X,X,O,X,O,X,X
SIZOLJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SIZOLJS,X,X,O,O,X,X,X,X,O,X,X,X,X
SIZOLST,X,O,O,O,X,X,X,X,O,X,O,X,X
SIZOLSJ,X,X,O,O,X,X,X,X,O,X,X,X,X
SIZOJTL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZOJTS,X,X,O,X,X,O,O,X,X,X,O,X,X
SIZOJLT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIZOJLS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIZOJST,X,X,O,X,O,O,X,X,X,X,O,X,X
SIZOJSL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIZOSTL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIZOSTJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SIZOSLT,X,O,O,O,X,X,X,X,X,X,O,X,X
SIZOSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIZOSJT,O,X,O,O,O,X,X,X,X,X,O,X,O
SIZOSJL,X,X,O,X,X,X,X,X,X,X,O,X,X
SIOTLJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOTLJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOTLSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOTLSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOTLZJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SIOTLZS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOTJLS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOTJLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOTJSL,O,X,X,X,O,X,O,X,X,X,X,X,X
SIOTJSZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIOTJZL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOTJZS,X,X,O,X,X,O,X,X,X,X,X,X,X
SIOTSLJ,O,O,O,O,X,X,X,X,X,X,X,X,X
SIOTSLZ,O,O,O,O,X,X,X,X,X,X,X,X,X
SIOTSJL,O,X,O,X,O,X,O,X,X,X,X,X,X
SIOTSJZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIOTSZL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIOTSZJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SIOTZLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SIOTZLS,X,O,X,O,X,X,X,X,X,X,O,X,X
SIOTZJL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOTZJS,X,X,O,X,X,O,X,X,X,X,O,X,X
SIOTZSL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIOTZSJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SIOLTJS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOLTJZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOLTSJ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOLTSZ,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOLTZJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SIOLTZS,X,O,X,O,X,X,X,X,O,X,X,X,X
SIOLJTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOLJTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOLJST,X,X,X,O,O,X,X,X,X,X,X,X,X
SIOLJSZ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOLJZT,X,O,X,O,X,O,X,X,O,X,X,X,X
SIOLJZS,X,X,O,O,X,O,X,X,O,X,X,X,X
SIOLSTJ,X,O,O,O,X,X,X,X,X,X,X,X,X
SIOLSTZ,X,O,O,O,X,X,X,X,X,X,X,X,X
SIOLSJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SIOLSJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOLSZT,X,O,O,O,X,X,X,X,O,X,X,X,X
SIOLSZJ,X,X,O,O,X,X,X,X,O,X,X,X,X
SIOLZTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SIOLZTS,X,O,X,O,X,X,X,X,O,X,X,X,X
SIOLZJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SIOLZJS,X,X,O,O,X,X,X,X,O,X,X,X,X
SIOLZST,X,O,O,O,X,X,X,X,O,X,X,X,X
SIOLZSJ,X,X,O,O,X,X,X,X,O,X,X,X,X
SIOJTLS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOJTLZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOJTSL,O,X,X,X,O,X,O,X,X,X,X,X,X
SIOJTSZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIOJTZL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOJTZS,X,X,O,X,X,O,X,X,X,X,X,X,X
SIOJLTS,X,O,X,O,X,X,X,X,X,X,X,X,X
SIOJLTZ,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOJLST,X,X,X,O,O,X,X,X,X,X,X,X,X
SIOJLSZ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOJLZT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOJLZS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIOJSTL,O,X,O,X,O,X,X,X,X,X,X,X,X
SIOJSTZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIOJSLT,X,X,X,X,O,X,X,X,X,X,X,X,X
SIOJSLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOJSZT,O,X,O,O,O,O,X,X,X,X,X,X,O
SIOJSZL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIOJZTL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOJZTS,X,X,O,X,X,O,O,X,X,X,X,X,X
SIOJZLT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOJZLS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIOJZST,X,X,O,X,O,O,X,X,X,X,X,X,X
SIOJZSL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIOSTLJ,O,O,O,O,X,X,X,X,X,X,X,X,X
SIOSTLZ,O,O,O,O,X,X,X,X,X,X,X,X,X
SIOSTJL,O,X,O,X,O,X,X,X,X,X,X,X,X
SIOSTJZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIOSTZL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIOSTZJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SIOSLTJ,X,O,O,O,X,X,X,X,X,X,X,X,X
SIOSLTZ,X,O,O,O,X,X,X,X,X,X,X,X,X
SIOSLJT,X,X,X,O,O,X,X,X,X,X,X,X,X
SIOSLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOSLZT,X,O,O,O,X,X,X,X,X,X,X,X,X
SIOSLZJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOSJTL,O,X,O,X,O,X,X,X,X,X,X,X,X
SIOSJTZ,O,X,O,O,O,O,X,X,X,X,X,X,X
SIOSJLT,X,X,X,X,O,X,X,X,X,X,X,X,X
SIOSJLZ,X,X,O,X,X,X,X,X,X,X,X,X,X
SIOSJZT,O,X,O,O,O,O,X,X,X,X,X,X,O
SIOSJZL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIOSZTL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIOSZTJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SIOSZLT,X,O,O,O,X,X,X,X,X,X,O,X,X
SIOSZLJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOSZJT,O,X,O,O,O,X,X,X,X,X,O,X,O
SIOSZJL,X,X,O,X,X,X,X,X,X,X,O,X,X
SIOZTLJ,X,O,X,O,X,X,X,X,X,O,X,X,X
SIOZTLS,X,O,X,O,X,X,X,X,X,X,O,X,X
SIOZTJL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOZTJS,X,X,O,X,X,O,O,X,X,X,O,X,X
SIOZTSL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIOZTSJ,O,X,O,O,X,X,O,X,X,X,O,X,X
SIOZLTJ,X,O,X,O,X,X,X,X,O,X,X,X,X
SIOZLTS,X,O,X,O,X,X,X,X,O,X,O,X,X
SIOZLJT,X,O,X,O,X,X,X,X,O,X,X,X,X
SIOZLJS,X,X,O,O,X,X,X,X,O,X,X,X,X
SIOZLST,X,O,O,O,X,X,X,X,O,X,O,X,X
SIOZLSJ,X,X,O,O,X,X,X,X,O,X,X,X,X
SIOZJTL,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOZJTS,X,X,O,X,X,O,O,X,X,X,O,X,X
SIOZJLT,X,O,X,O,X,O,X,X,X,X,X,X,X
SIOZJLS,X,X,O,O,X,O,X,X,X,X,X,X,X
SIOZJST,X,X,O,X,O,O,X,X,X,X,O,X,X
SIOZJSL,X,X,O,X,X,O,X,X,X,X,X,X,X
SIOZSTL,O,O,O,O,X,X,X,X,X,X,O,X,X
SIOZSTJ,O,X,O,O,X,X,X,X,X,X,O,X,X
SIOZSLT,X,O,O,O,X,X,X,X,X,X,O,X,X
SIOZSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X
SIOZSJT,O,X,O,O,O,X,X,X,X,X,O,X,O
SIOZSJL,X,X,O,X,X,X,X,X,X,X,O,X,X
SLTIJSZ,X,O,X,X,X,X,X,X,X,X,X,O,X
SLTIJSO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIJZS,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTIJZO,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTIJOS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIJOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTISJZ,X,O,X,X,X,X,X,X,X,X,X,O,X
SLTISJO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTISZJ,X,O,X,X,X,X,X,X,X,X,X,O,X
SLTISZO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTISOJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTISOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIZJS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIZJO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIZSJ,X,O,X,X,X,X,X,X,X,X,X,O,X
SLTIZSO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIZOJ,X,O,X,X,X,X,X,X,O,O,X,X,X
SLTIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X
SLTIOJS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIOJZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTIOSJ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIOSZ,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTIOZJ,X,O,X,X,X,X,X,X,O,O,X,X,X
SLTIOZS,X,O,X,X,X,X,X,X,O,X,X,X,X
SLTJISZ,X,O,X,X,X,X,X,X,X,X,X,O,X
SLTJISO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTJIZS,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTJIZO,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTJIOS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTJIOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTJSIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTJSIO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTJSZI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTJSZO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTJSOI,O,X,X,X,O,X,O,O,X,X,X,O,X
SLTJSOZ,O,X,X,X,O,X,O,O,X,X,X,O,X
SLTJZIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTJZIO,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTJZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
SLTJZOI,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTJZOS,X,X,X,X,X,X,X,X,X,O,X,X,X
SLTJOIS,X,O,X,X,X,X,X,X,X,X,X,X,X
SLTJOIZ,X,O,X,X,X,O,X,X,X,X,X,X,X
SLTJOSI,O,X,X,X,O,X,O,X,X,X,X,X,X
SLTJOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X
SLTJOZI,X,O,X,X,X,X,X,X,X,O,X,X,X
SLTJOZS,X,X,X,X,X,X,X,X,X,O,X,X,X
SLTSIJZ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSIJO,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSIZJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSIZO,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSIOJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSIOZ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSJIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTSJIO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTSJZI,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTSJZO,O,X,X,X,O,X,X,O,X,X,X,O,X
SLTSJOI,O,X,X,X,O,X,O,O,X,X,X,O,X
SLTSJOZ,O,X,X,X,O,X,O,O,X,X,X,O,X
SLTSZIJ,O,O,X,X,X,X,X,X,X,X,X,O,X
SLTSZIO,O,O,X,X,X,X,X,X,X,X,O,O,X
SLTSZJI,O,X,X,X,X,X,X,O,X,X,O,O,X
SLTSZJO,O,X,X,X,X,X,X,O,X,X,O,O,X
SLTSZOI,O,O,X,X,X,X,X,X,X,X,O,O,X
SLTSZOJ,O,X,X,X,X,X,X,X,X,O,O,O,X
