sequence,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlBumB3iBtqBarB,v115@GhA8HeD8DeF8CeE8JeT/IvhEihB3iB9qBcrBOqB,v115@GhA8HeD8DeF8CeE8Jei/IvhERhB3iBTmB0qBFqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBlhB3iBxqB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEdmBRiBCnB0qBOqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0hBliBxqBKqBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlB0hBliBCrBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBxlB0lBlmB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEamBumB3iB0qBNqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBRiBNqBCnBerB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBNqBGmBimB0qB,v115@GhA8HeD8DeF8CeE8JeiBJvhE3iBxkBcrB9qBmpB,v115@GhA8HeD8DeF8CeE8Jex/IvhEihB3iB9qBcrBmpB,v115@GhA8HeD8DeF8CeE8JeT/IvhExgBliB3mB0qBiqB
TLZJOSI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TLZSIJO,X,O,X,X,O,X,X,X,X,X,X,X,O,O
TLZSIOJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TLZSJIO,X,O,X,X,O,X,X,X,X,X,X,X,O,O
TLZSJOI,X,O,X,X,O,X,X,X,X,X,X,X,O,O
TLZSOIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TLZSOJI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
TLZOIJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLZOISJ,X,O,O,X,O,X,O,X,X,X,X,X,O,X
TLZOJIS,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TLZOJSI,X,O,X,X,O,X,X,X,X,O,X,X,O,X
TLZOSIJ,X,O,O,X,O,X,X,X,X,X,X,X,O,O
TLZOSJI,X,O,X,X,O,X,X,X,X,O,X,X,O,O
TLOIJSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOIJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLOISZJ,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLOIZSJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLOJISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOJIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOJZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOSIJZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLOSIZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,O
TLOSJIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOSJZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TLOSZJI,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TLOZIJS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLOZISJ,X,O,X,X,O,X,O,X,X,X,X,X,X,X
