sequence,v115@RhB8DeB8AeC8CeE8JeT/IvhFihB3iBcoB9qBcrBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlBumB3iBcoBtqBarB,v115@RhB8DeB8AeC8CeE8Jei/IvhFRhB3iBcoBTmB0qBFqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gBlhB3iBcoBxqB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhFdmBRiBcoBCnB0qBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlB0hBliBcoBCrBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gB0hBSoBNqBmnBXrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFamBumB3iBcoB0qBNqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBxlB0lBlmB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBNqBGmBimB0qB,v115@RhB8DeB8AeC8CeE8JeT/IvhFxgBliBcoB3mB0qBiqB,v115@RhB8DeB8AeC8CeE8Jex/IvhFihB3iBcoB9qBcrBmpB,v115@RhB8DeB8AeC8CeE8JeiBJvhF3iBcoBxkBcrB9qBmpB
ZTLJOSI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTLJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTLJOZI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLJOZS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLSIJZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLSIJO,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLSIZJ,X,X,X,X,X,O,X,X,X,X,X,O,X
ZTLSIZO,X,X,O,X,X,O,O,X,X,X,X,O,X
ZTLSIOJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLSIOZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTLSJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLSJIO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLSJZI,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTLSJZO,X,X,X,X,X,X,O,X,X,X,X,X,X
ZTLSJOI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTLSJOZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTLSZIJ,O,X,X,X,O,X,X,X,X,X,O,O,X
ZTLSZIO,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTLSZJI,O,X,X,X,O,X,X,X,X,X,O,O,X
ZTLSZJO,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTLSZOI,O,X,O,X,O,X,O,X,X,X,O,O,X
ZTLSZOJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTLSOIJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLSOIZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTLSOJI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTLSOJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTLSOZI,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTLSOZJ,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTLZIJS,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTLZIJO,O,X,X,X,O,X,X,X,X,X,X,O,X
ZTLZISJ,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTLZISO,O,X,X,X,O,O,X,X,X,X,X,O,O
ZTLZIOJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLZIOS,O,X,X,X,O,O,X,X,X,X,X,O,X
ZTLZJIS,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLZJIO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLZJSI,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLZJSO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTLZJOI,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTLZJOS,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTLZSIJ,O,X,X,X,O,X,X,X,X,X,O,O,O
ZTLZSIO,O,X,O,X,O,X,X,X,X,X,O,O,O
ZTLZSJI,O,X,X,X,O,X,X,O,X,X,O,O,X
ZTLZSJO,O,X,X,X,O,X,X,O,X,X,O,O,X
ZTLZSOI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTLZSOJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTLZOIJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLZOIS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTLZOJI,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTLZOJS,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTLZOSI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTLZOSJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTLOIJS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLOIJZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLOISJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLOISZ,X,X,O,X,X,O,X,X,X,X,X,X,X
ZTLOIZJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLOIZS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTLOJIS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLOJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTLOJSI,X,O,X,X,X,X,X,X,X,O,X,X,X
